YEAR,MONTH,DAY_OF_MONTH,DEP_TIME,DEP_DELAY,ARR_DELAY,DISTANCE,ORIGIN,DEST,CANCELLED,CARRIER,UNIQUE_CARRIER,AIRLINE_ID
2016,4,11,0653,-7.0,-10.0,888.0,DEN,ORD,0.0,F9,F9,20436
2016,4,11,1127,-8.0,-46.0,1514.0,ORD,LAS,0.0,F9,F9,20436
2016,4,11,1420,-5.0,14.0,1222.0,LAS,IAH,0.0,F9,F9,20436
2016,4,11,2035,20.0,-1.0,1222.0,IAH,LAS,0.0,F9,F9,20436
2016,4,11,2318,-2.0,-38.0,2174.0,LAS,MIA,0.0,F9,F9,20436
2016,4,11,0655,-10.0,-5.0,1709.0,MIA,DEN,0.0,F9,F9,20436
2016,4,11,1047,-3.0,-12.0,680.0,DEN,MSP,0.0,F9,F9,20436
2016,4,11,1425,-10.0,-26.0,680.0,MSP,DEN,0.0,F9,F9,20436
2016,4,11,1651,-4.0,-16.0,846.0,DEN,SNA,0.0,F9,F9,20436
2016,4,11,1903,-7.0,-20.0,846.0,SNA,DEN,0.0,F9,F9,20436
2016,4,11,2348,-7.0,-44.0,1709.0,DEN,MIA,0.0,F9,F9,20436
2016,4,11,0657,-3.0,-25.0,628.0,DEN,LAS,0.0,F9,F9,20436
2016,4,11,0901,-4.0,-16.0,2039.0,LAS,MCO,0.0,F9,F9,20436
2016,4,11,1716,-4.0,-6.0,2218.0,MCO,LAX,0.0,F9,F9,20436
2016,4,11,2055,-10.0,-44.0,2218.0,LAX,MCO,0.0,F9,F9,20436
2016,4,11,0705,-10.0,-22.0,879.0,CVG,RSW,0.0,F9,F9,20436
2016,4,11,1126,-9.0,-7.0,879.0,RSW,CVG,0.0,F9,F9,20436
2016,4,11,1457,7.0,-6.0,1678.0,CVG,LAS,0.0,F9,F9,20436
2016,4,11,1646,-9.0,-13.0,1678.0,LAS,CVG,0.0,F9,F9,20436
2016,4,11,1834,-6.0,-24.0,391.0,DEN,SLC,0.0,F9,F9,20436
2016,4,11,2038,-17.0,-16.0,391.0,SLC,DEN,0.0,F9,F9,20436
2016,4,11,0703,-7.0,-29.0,1607.0,DEN,RSW,0.0,F9,F9,20436
2016,4,11,1339,-11.0,-24.0,1028.0,RSW,TTN,0.0,F9,F9,20436
2016,4,11,1708,-12.0,-18.0,896.0,TTN,MCO,0.0,F9,F9,20436
2016,4,11,2100,-5.0,-17.0,1066.0,MCO,MKE,0.0,F9,F9,20436
2016,4,11,0745,-10.0,-22.0,1066.0,MKE,MCO,0.0,F9,F9,20436
2016,4,11,1246,11.0,0.0,1072.0,MCO,MCI,0.0,F9,F9,20436
2016,4,11,1520,-5.0,-19.0,1072.0,MCI,MCO,0.0,F9,F9,20436
2016,4,11,1948,-7.0,-20.0,896.0,MCO,TTN,0.0,F9,F9,20436
2016,4,12,0650,-10.0,-34.0,1476.0,DCA,DEN,0.0,F9,F9,20436
2016,4,12,1032,-8.0,-17.0,872.0,DEN,MEM,0.0,F9,F9,20436
2016,4,12,1445,-10.0,-17.0,872.0,MEM,DEN,0.0,F9,F9,20436
2016,4,12,1711,-4.0,-20.0,1558.0,DEN,PHL,0.0,F9,F9,20436
2016,4,12,0006,-4.0,-22.0,1747.0,LAS,ATL,0.0,F9,F9,20436
2016,4,12,0825,-5.0,-14.0,1199.0,ATL,DEN,0.0,F9,F9,20436
2016,4,12,1050,-10.0,-11.0,1476.0,DEN,DCA,0.0,F9,F9,20436
2016,4,12,1708,-7.0,-41.0,1476.0,DCA,DEN,0.0,F9,F9,20436
2016,4,12,2011,-9.0,20.0,888.0,DEN,ORD,0.0,F9,F9,20436
2016,4,12,0554,-6.0,-1.0,628.0,LAS,DEN,0.0,F9,F9,20436
2016,4,12,0952,-13.0,-32.0,846.0,DEN,SNA,0.0,F9,F9,20436
2016,4,12,1215,-5.0,-22.0,846.0,SNA,DEN,0.0,F9,F9,20436
2016,4,12,1623,-7.0,-16.0,1476.0,DEN,DCA,0.0,F9,F9,20436
2016,4,12,0630,0.0,-30.0,1846.0,ORD,SFO,0.0,F9,F9,20436
2016,4,12,1015,-5.0,-9.0,967.0,SFO,DEN,0.0,F9,F9,20436
2016,4,12,1439,-6.0,-12.0,602.0,DEN,PHX,0.0,F9,F9,20436
2016,4,12,1624,-11.0,-31.0,1440.0,PHX,ORD,0.0,F9,F9,20436
2016,4,12,0627,-3.0,-17.0,1197.0,ORD,MIA,0.0,F9,F9,20436
2016,4,12,1121,-9.0,-20.0,1197.0,MIA,ORD,0.0,F9,F9,20436
2016,4,12,1423,-17.0,-42.0,1120.0,ORD,RSW,0.0,F9,F9,20436
2016,4,12,1916,-19.0,-33.0,1120.0,RSW,ORD,0.0,F9,F9,20436
2016,4,12,2218,-17.0,-17.0,1514.0,ORD,LAS,0.0,F9,F9,20436
2016,4,12,0728,-2.0,-26.0,1013.0,PHL,MIA,0.0,F9,F9,20436
2016,4,12,1501,36.0,16.0,1096.0,MIA,LGA,0.0,F9,F9,20436
2016,4,12,1828,-2.0,-17.0,1096.0,LGA,MIA,0.0,F9,F9,20436
2016,4,12,2248,-7.0,-27.0,1013.0,MIA,PHL,0.0,F9,F9,20436
2016,4,12,0553,-7.0,-17.0,967.0,SFO,DEN,0.0,F9,F9,20436
2016,4,12,1023,-7.0,-33.0,853.0,DEN,SAN,0.0,F9,F9,20436
2016,4,12,1238,-12.0,-22.0,853.0,SAN,DEN,0.0,F9,F9,20436
2016,4,12,1652,-8.0,-17.0,1199.0,DEN,ATL,0.0,F9,F9,20436
2016,4,12,0558,-2.0,-36.0,967.0,DEN,SFO,0.0,F9,F9,20436
2016,4,12,0849,-6.0,-15.0,1846.0,SFO,ORD,0.0,F9,F9,20436
2016,4,12,1604,-1.0,-18.0,1744.0,ORD,LAX,0.0,F9,F9,20436
2016,4,12,1925,-10.0,-16.0,862.0,LAX,DEN,0.0,F9,F9,20436
2016,4,12,0754,-11.0,-18.0,758.0,MCO,IAD,0.0,F9,F9,20436
2016,4,12,1100,-10.0,-26.0,758.0,IAD,MCO,0.0,F9,F9,20436
2016,4,12,1420,-5.0,-10.0,829.0,MCO,IND,0.0,F9,F9,20436
2016,4,12,1734,-11.0,-29.0,829.0,IND,MCO,0.0,F9,F9,20436
2016,4,12,2105,-5.0,11.0,2039.0,MCO,LAS,0.0,F9,F9,20436
2016,4,12,1741,-9.0,-30.0,920.0,PHL,TPA,0.0,F9,F9,20436
2016,4,12,2123,-12.0,-11.0,869.0,TPA,STL,0.0,F9,F9,20436
2016,4,12,0623,-7.0,-23.0,762.0,ATL,LGA,0.0,F9,F9,20436
2016,4,12,0940,-5.0,-16.0,762.0,LGA,ATL,0.0,F9,F9,20436
2016,4,12,1322,-8.0,-29.0,594.0,ATL,MIA,0.0,F9,F9,20436
2016,4,12,1618,-7.0,-11.0,594.0,MIA,ATL,0.0,F9,F9,20436
2016,4,12,1912,-8.0,-12.0,1199.0,ATL,DEN,0.0,F9,F9,20436
2016,4,12,2203,-7.0,-25.0,967.0,DEN,SFO,0.0,F9,F9,20436
2016,4,12,1604,-6.0,-14.0,869.0,STL,TPA,0.0,F9,F9,20436
2016,4,12,2010,-5.0,-10.0,920.0,TPA,PHL,0.0,F9,F9,20436
2016,4,12,1752,22.0,1.0,993.0,PHL,RSW,0.0,F9,F9,20436
2016,4,12,2110,-15.0,-39.0,993.0,RSW,PHL,0.0,F9,F9,20436
2016,4,12,1611,-4.0,-10.0,641.0,DEN,DFW,0.0,F9,F9,20436
2016,4,12,2000,-5.0,-31.0,641.0,DFW,DEN,0.0,F9,F9,20436
2016,4,12,2159,-6.0,-10.0,628.0,DEN,LAS,0.0,F9,F9,20436
2016,4,12,2343,-7.0,-22.0,1514.0,LAS,ORD,0.0,F9,F9,20436
2016,4,12,0655,-5.0,-36.0,1440.0,ORD,PHX,0.0,F9,F9,20436
2016,4,12,1009,-1.0,-9.0,602.0,PHX,DEN,0.0,F9,F9,20436
2016,4,12,1341,-4.0,-23.0,1199.0,DEN,ATL,0.0,F9,F9,20436
2016,4,12,1927,-8.0,-7.0,1747.0,ATL,LAS,0.0,F9,F9,20436
2016,4,12,2243,13.0,17.0,1824.0,LAS,CLE,0.0,F9,F9,20436
2016,4,12,0015,-15.0,-4.0,1744.0,LAX,ORD,0.0,F9,F9,20436
2016,4,12,2102,-8.0,-25.0,888.0,ORD,DEN,0.0,F9,F9,20436
2016,4,12,1631,11.0,-16.0,1025.0,CLE,RSW,0.0,F9,F9,20436
2016,4,12,1954,-11.0,-17.0,1025.0,RSW,CLE,0.0,F9,F9,20436
2016,4,12,0635,-10.0,-40.0,862.0,DEN,LAX,0.0,F9,F9,20436
2016,4,12,0928,-2.0,-6.0,862.0,LAX,DEN,0.0,F9,F9,20436
2016,4,12,1341,-4.0,-9.0,1014.0,DEN,BNA,0.0,F9,F9,20436
2016,4,12,1756,-9.0,-31.0,1014.0,BNA,DEN,0.0,F9,F9,20436
2016,4,12,2102,-3.0,-19.0,862.0,DEN,LAX,0.0,F9,F9,20436
2016,4,12,0704,4.0,-7.0,927.0,CLE,TPA,0.0,F9,F9,20436
2016,4,12,1036,-4.0,-18.0,927.0,TPA,CLE,0.0,F9,F9,20436
2016,4,12,1444,-6.0,-35.0,1824.0,CLE,LAS,0.0,F9,F9,20436
2016,4,12,1743,-7.0,46.0,414.0,LAS,SFO,0.0,F9,F9,20436
2016,4,12,2051,21.0,24.0,414.0,SFO,LAS,0.0,F9,F9,20436
2016,4,12,2321,21.0,0.0,2039.0,LAS,MCO,0.0,F9,F9,20436
2016,4,12,0632,-3.0,-30.0,1558.0,PHL,DEN,0.0,F9,F9,20436
2016,4,12,0939,-6.0,-29.0,991.0,DEN,PDX,0.0,F9,F9,20436
2016,4,12,1224,-12.0,-4.0,991.0,PDX,DEN,0.0,F9,F9,20436
2016,4,12,1710,-10.0,-23.0,853.0,DEN,SAN,0.0,F9,F9,20436
2016,4,12,1921,-14.0,-8.0,853.0,SAN,DEN,0.0,F9,F9,20436
2016,4,12,0737,-8.0,-23.0,861.0,MCO,PHL,0.0,F9,F9,20436
2016,4,12,1110,-5.0,-16.0,861.0,PHL,MCO,0.0,F9,F9,20436
2016,4,12,1457,-8.0,-22.0,1546.0,MCO,DEN,0.0,F9,F9,20436
2016,4,12,1941,76.0,86.0,1546.0,DEN,MCO,0.0,F9,F9,20436
2016,4,12,0550,-10.0,-9.0,1546.0,DEN,MCO,0.0,F9,F9,20436
2016,4,12,2222,62.0,37.0,895.0,MCO,CLE,0.0,F9,F9,20436
2016,4,12,0726,-4.0,-16.0,757.0,MCO,CVG,0.0,F9,F9,20436
2016,4,12,1033,-7.0,-16.0,757.0,CVG,MCO,0.0,F9,F9,20436
2016,4,12,1412,-8.0,-9.0,882.0,MCO,STL,0.0,F9,F9,20436
2016,4,12,1644,-11.0,4.0,1371.0,STL,LAS,0.0,F9,F9,20436
2016,4,12,1936,-4.0,10.0,1371.0,LAS,STL,0.0,F9,F9,20436
2016,4,12,0523,-7.0,-24.0,861.0,PHL,MCO,0.0,F9,F9,20436
2016,4,12,0915,-10.0,-33.0,957.0,MCO,DTW,0.0,F9,F9,20436
2016,4,12,1302,-8.0,-31.0,957.0,DTW,MCO,0.0,F9,F9,20436
2016,4,12,1700,-5.0,-17.0,861.0,MCO,PHL,0.0,F9,F9,20436
2016,4,12,2036,-4.0,-21.0,861.0,PHL,MCO,0.0,F9,F9,20436
2016,4,12,0757,-8.0,-20.0,882.0,STL,MCO,0.0,F9,F9,20436
2016,4,12,1224,-1.0,-24.0,895.0,MCO,CLE,0.0,F9,F9,20436
2016,4,12,1558,-7.0,-25.0,895.0,CLE,MCO,0.0,F9,F9,20436
2016,4,12,1932,-3.0,1.0,1546.0,MCO,DEN,0.0,F9,F9,20436
2016,4,12,0707,-3.0,-32.0,895.0,CLE,MCO,0.0,F9,F9,20436
