id,Line,Rating,Sail_month,Sail_year,Best_rating,Worse_rating,Ship,Count
0,Costa,5,3-Dec,2012, Public Rooms, Service,not specified,1
1,Costa,3,3-Dec,2012,Service, Enrichment Activities,Costa Classica,1
2,Costa,4,3-Dec,2012,Fitness & Recreation,Entertainment,Costa Serena,1
3,Costa,1,5-Dec,2012,Service,Value for Money,Costa Classica,1
4,Costa,2,4-Dec,2012, Enrichment Activities, Service,not specified,1
5,Costa,1,5-Dec,2012, Public Rooms, Dining,Costa Serena,1
6,Costa,5,5-Dec,2012, Fitness & Recreation,Entertainment,Costa Favolosa,1
7,Costa,4,3-Dec,2012,Service,Entertainment,Costa Fortuna,1
8,Costa,1,5-Dec,2012,Service, Entertainment,Costa Classica,1
9,Costa,2,5-Dec,2012, Cabin,Dining,not specified,1
10,Costa,4,9-Dec,2012, Cabin,Embarkation,not specified,1
11,Costa,4,5-Dec,2012, Public Rooms,Fitness & Recreation,neoRomantica,1
12,Costa,4,11-Dec,2012, Service,Shore Excursions,not specified,1
13,Costa,5,7-Dec,2012, Public Rooms, Fitness & Recreation,neoRomantica,1
14,Costa,4,6-Dec,2012, Public Rooms, Fitness & Recreation,Costa Classica,1
15,Costa,5,8-Nov,2011, Shore Excursions, Service,Costa Deliziosa,1
16,Costa,3,8-Dec,2012,Value for Money, Public Rooms,Costa Deliziosa,1
17,Costa,2,6-Dec,2012,Service, Fitness & Recreation,Costa Serena,1
18,Costa,5,13-02,2013, Fitness & Recreation,Value for Money,Costa Fortuna,1
19,Costa,1,5-Dec,2012,Cabin, Enrichment Activities,Costa Favolosa,1
20,Costa,2,5-Dec,2012,Service,Dining,Costa Favolosa,1
21,Costa,4,4-Dec,2012, Entertainment,Embarkation,Costa Favolosa,1
22,Costa,4,1-Dec,2012,Value for Money,Embarkation,Costa Serena,1
23,Costa,4,6-Dec,2012, Fitness & Recreation,Dining,Costa Favolosa,1
24,Costa,4,4-Dec,2012,Public Rooms,Dining,Costa Favolosa,1
25,Costa,4,6-Dec,2012, Cabin,Embarkation,Costa Favolosa,1
