Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r) 
1.000000e+00	2.626477e-08	2.082477e+01	1.105422e-05	5.553374e-06	5.500845e-06
2.000000e+00	-8.926510e-09	1.435189e+01	-1.821328e-06	-9.195906e-07	-9.017376e-07
3.000000e+00	-1.190414e-07	-1.013531e+00	-1.065974e-05	-5.448913e-06	-5.210830e-06
4.000000e+00	-1.402592e-07	-8.905827e+00	-7.643219e-06	-3.961868e-06	-3.681350e-06
5.000000e+00	-9.234922e-08	-5.480490e+00	7.352094e-06	3.583698e-06	3.768396e-06
6.000000e+00	-5.040176e-08	2.113694e+00	8.052874e-06	3.976035e-06	4.076839e-06
7.000000e+00	-5.360188e-08	6.044945e+00	2.789290e-06	1.341043e-06	1.448247e-06
8.000000e+00	-3.640132e-08	4.336373e+00	-5.657036e-06	-2.864919e-06	-2.792117e-06
9.000000e+00	-1.365549e-09	4.499539e-01	-2.598061e-06	-1.300396e-06	-1.297665e-06
1.000000e+01	1.559883e-08	-1.663912e+00	2.442356e-06	1.236777e-06	1.205579e-06
1.100000e+01	-1.170016e-08	-9.250983e-01	8.433633e-06	4.205116e-06	4.228516e-06
1.200000e+01	-7.873294e-08	1.056148e+00	1.865829e-06	8.541818e-07	1.011648e-06
1.300000e+01	-1.250168e-07	2.277508e+00	-3.835976e-06	-2.043005e-06	-1.792971e-06
1.400000e+01	-1.235706e-07	2.060526e+00	-7.492537e-06	-3.869839e-06	-3.622698e-06
1.500000e+01	-6.341180e-08	1.091055e+00	-1.178850e-06	-6.528367e-07	-5.260131e-07
1.600000e+01	2.525789e-08	4.111828e-01	5.035857e-06	2.543186e-06	2.492671e-06
1.700000e+01	8.850162e-08	4.827913e-01	7.631361e-06	3.904182e-06	3.727179e-06
1.800000e+01	7.792464e-08	1.013193e+00	2.455230e-06	1.305539e-06	1.149690e-06
1.900000e+01	-5.656305e-09	1.441263e+00	-3.160853e-06	-1.586083e-06	-1.574770e-06
2.000000e+01	-6.995335e-08	1.470899e+00	-4.426280e-06	-2.283094e-06	-2.143187e-06
2.100000e+01	-7.622880e-08	1.217130e+00	-1.073331e-06	-6.128942e-07	-4.604366e-07
2.200000e+01	-4.054493e-08	9.835619e-01	2.169073e-06	1.043991e-06	1.125081e-06
2.300000e+01	-6.339194e-10	9.585920e-01	3.513706e-06	1.756219e-06	1.757487e-06
2.400000e+01	1.862241e-08	1.098592e+00	1.705313e-06	8.712788e-07	8.340340e-07
2.500000e+01	5.720684e-09	1.237727e+00	-7.081560e-07	-3.483573e-07	-3.597987e-07
2.600000e+01	-1.837369e-08	1.262759e+00	-1.563792e-06	-8.002696e-07	-7.635222e-07
2.700000e+01	-3.269740e-08	1.187713e+00	-6.450228e-07	-3.552088e-07	-2.898140e-07
2.800000e+01	-2.847959e-08	1.102903e+00	9.396028e-07	4.413218e-07	4.982810e-07
2.900000e+01	-1.387178e-08	1.076022e+00	1.492446e-06	7.323511e-07	7.600947e-07
3.000000e+01	-3.941346e-09	1.104745e+00	8.898956e-07	4.410064e-07	4.488891e-07
3.100000e+01	-4.006851e-09	1.141261e+00	1.581264e-08	3.899472e-09	1.191317e-08
3.200000e+01	-1.018427e-08	1.146943e+00	-4.198025e-07	-2.200855e-07	-1.997170e-07
3.300000e+01	-1.497897e-08	1.121116e+00	-2.716755e-07	-1.508167e-07	-1.208588e-07
3.400000e+01	-1.510513e-08	1.088985e+00	2.204024e-07	9.509606e-08	1.253063e-07
3.500000e+01	-1.200984e-08	1.072695e+00	2.105305e-07	9.325543e-08	1.172751e-07
3.600000e+01	-9.765943e-09	1.074006e+00	8.091232e-08	3.069022e-08	5.022210e-08
3.700000e+01	-7.839698e-09	1.080050e+00	7.438363e-08	2.935212e-08	4.503152e-08
3.800000e+01	-7.173783e-09	1.078984e+00	-1.442244e-07	-7.928598e-08	-6.493841e-08
3.900000e+01	-8.184193e-09	1.069007e+00	-2.400306e-07	-1.281995e-07	-1.118311e-07
4.000000e+01	-8.926793e-09	1.056497e+00	-2.560922e-07	-1.369729e-07	-1.191193e-07
4.100000e+01	-9.492391e-09	1.047856e+00	-3.167594e-07	-1.678721e-07	-1.488873e-07
4.200000e+01	-9.368756e-09	1.044265e+00	-2.746684e-07	-1.467030e-07	-1.279654e-07
4.300000e+01	-8.261198e-09	1.042659e+00	-2.635370e-07	-1.400297e-07	-1.235073e-07
4.400000e+01	-7.914994e-09	1.039797e+00	-3.600578e-07	-1.879439e-07	-1.721139e-07
4.500000e+01	-1.016657e-08	1.034729e+00	-3.976581e-07	-2.089956e-07	-1.886625e-07
4.600000e+01	-1.243257e-08	1.028682e+00	-3.521507e-07	-1.885079e-07	-1.636428e-07
4.700000e+01	-1.266387e-08	1.023331e+00	-2.757622e-07	-1.505450e-07	-1.252172e-07
4.800000e+01	-1.074628e-08	1.019231e+00	-2.359888e-07	-1.287407e-07	-1.072481e-07
4.900000e+01	-8.104777e-09	1.015878e+00	-2.911847e-07	-1.536971e-07	-1.374876e-07
5.000000e+01	-6.628201e-09	1.012463e+00	-3.714699e-07	-1.923631e-07	-1.791067e-07
5.100000e+01	-7.400233e-09	1.008527e+00	-4.350251e-07	-2.249128e-07	-2.101123e-07
5.200000e+01	-9.869889e-09	1.004242e+00	-4.883815e-07	-2.540606e-07	-2.343208e-07
5.300000e+01	-1.322544e-08	1.000115e+00	-6.202552e-07	-3.233530e-07	-2.969022e-07
5.400000e+01	-1.605485e-08	9.963020e-01	-5.907461e-07	-3.114279e-07	-2.793182e-07
5.500000e+01	-1.690828e-08	9.927201e-01	-2.981991e-07	-1.660078e-07	-1.321912e-07
5.600000e+01	-1.607657e-08	9.893238e-01	-4.894444e-08	-4.054879e-08	-8.395649e-09
5.700000e+01	-1.359338e-08	9.859603e-01	4.252099e-08	7.667117e-09	3.485387e-08
5.800000e+01	-1.177726e-08	9.825082e-01	-4.274353e-07	-2.254949e-07	-2.019404e-07
5.900000e+01	-1.109387e-08	9.790096e-01	-4.250365e-07	-2.236121e-07	-2.014244e-07
6.000000e+01	-1.187336e-08	9.756553e-01	-1.764839e-07	-1.001153e-07	-7.636857e-08
6.100000e+01	-1.195817e-08	9.725109e-01	-5.690929e-08	-4.041281e-08	-1.649648e-08
6.200000e+01	-1.161775e-08	9.694950e-01	-3.707508e-08	-3.015529e-08	-6.919789e-09
6.300000e+01	-1.128403e-08	9.665234e-01	-1.691196e-07	-9.584385e-08	-7.327579e-08
6.400000e+01	-1.035578e-08	9.636018e-01	-1.018905e-08	-1.545031e-08	5.261257e-09
6.500000e+01	-8.737363e-09	9.607366e-01	2.213922e-08	2.332246e-09	1.980697e-08
6.600000e+01	-8.131140e-09	9.579400e-01	-7.952515e-08	-4.789372e-08	-3.163143e-08
6.700000e+01	-7.669414e-09	9.552156e-01	-8.632328e-08	-5.083106e-08	-3.549223e-08
6.800000e+01	-5.821693e-09	9.525695e-01	8.649574e-08	3.742617e-08	4.906956e-08
6.900000e+01	-2.734194e-09	9.500452e-01	2.489360e-07	1.217338e-07	1.272022e-07
7.000000e+01	4.828081e-11	9.476362e-01	2.854459e-07	1.427713e-07	1.426747e-07
7.100000e+01	1.790555e-09	9.452819e-01	2.430731e-07	1.233271e-07	1.197460e-07
7.200000e+01	2.791379e-09	9.429523e-01	2.009267e-07	1.032547e-07	9.767196e-08
7.300000e+01	3.742634e-09	9.406785e-01	2.250065e-07	1.162459e-07	1.087606e-07
7.400000e+01	2.545924e-09	9.385035e-01	-5.446135e-07	-2.697608e-07	-2.748527e-07
7.500000e+01	1.761026e-09	9.364190e-01	-3.219424e-07	-1.592102e-07	-1.627322e-07
7.600000e+01	8.229676e-09	9.343712e-01	3.566561e-07	1.865577e-07	1.700984e-07
7.700000e+01	1.637726e-08	9.323461e-01	6.858857e-07	3.593201e-07	3.265656e-07
7.800000e+01	2.031867e-08	9.303669e-01	3.747052e-07	2.076713e-07	1.670339e-07
7.900000e+01	1.893361e-08	9.284770e-01	-1.421246e-07	-5.212869e-08	-8.999592e-08
8.000000e+01	1.566422e-08	9.266659e-01	-4.057248e-07	-1.871982e-07	-2.185266e-07
8.100000e+01	1.418010e-08	9.248876e-01	-3.274215e-07	-1.495306e-07	-1.778908e-07
8.200000e+01	1.526607e-08	9.231251e-01	-1.836526e-07	-7.656023e-08	-1.070924e-07
8.300000e+01	1.700499e-08	9.213927e-01	-2.366402e-07	-1.013151e-07	-1.353251e-07
8.400000e+01	1.729949e-08	9.197206e-01	-4.826151e-07	-2.240081e-07	-2.586070e-07
8.500000e+01	1.571528e-08	9.181229e-01	-7.448045e-07	-3.566870e-07	-3.881175e-07
8.600000e+01	1.327366e-08	9.165734e-01	-8.868207e-07	-4.301367e-07	-4.566840e-07
8.700000e+01	1.107089e-08	9.150474e-01	-9.382552e-07	-4.580567e-07	-4.801985e-07
8.800000e+01	9.302840e-09	9.135549e-01	-1.004560e-06	-4.929771e-07	-5.115828e-07
8.900000e+01	7.560747e-09	9.121099e-01	-1.123985e-06	-5.544316e-07	-5.695531e-07
9.000000e+01	5.481794e-09	9.107170e-01	-1.266181e-06	-6.276088e-07	-6.385724e-07
9.100000e+01	2.956095e-09	9.093763e-01	-1.391408e-06	-6.927480e-07	-6.986602e-07
9.200000e+01	9.828993e-11	9.080657e-01	-1.480434e-06	-7.401188e-07	-7.403154e-07
9.300000e+01	-2.859479e-09	9.067796e-01	-1.535650e-06	-7.706843e-07	-7.649654e-07
9.400000e+01	-5.656596e-09	9.055387e-01	-1.549278e-06	-7.802954e-07	-7.689822e-07
9.500000e+01	-8.256936e-09	9.043414e-01	-1.571417e-06	-7.939654e-07	-7.774515e-07
9.600000e+01	-1.080611e-08	9.031820e-01	-1.578916e-06	-8.002641e-07	-7.786519e-07
9.700000e+01	-1.329712e-08	9.020549e-01	-1.567548e-06	-7.970713e-07	-7.704771e-07
9.800000e+01	-1.553936e-08	9.009477e-01	-1.480076e-06	-7.555774e-07	-7.244987e-07
9.900000e+01	-1.727541e-08	8.998762e-01	-1.347859e-06	-6.912049e-07	-6.566541e-07
1.000000e+02	-1.855464e-08	8.988495e-01	-1.196332e-06	-6.167206e-07	-5.796113e-07
1.010000e+02	-1.940416e-08	8.978554e-01	-1.025097e-06	-5.319526e-07	-4.931443e-07
1.020000e+02	-1.966482e-08	8.968796e-01	-7.979660e-07	-4.186478e-07	-3.793182e-07
1.030000e+02	-1.915300e-08	8.959316e-01	-5.353556e-07	-2.868308e-07	-2.485248e-07
1.040000e+02	-1.781853e-08	8.950151e-01	-2.282923e-07	-1.319647e-07	-9.632762e-08
1.050000e+02	-1.551019e-08	8.941403e-01	1.269205e-07	4.795006e-08	7.897045e-08
1.060000e+02	-1.211564e-08	8.933013e-01	5.250913e-07	2.504300e-07	2.746613e-07
1.070000e+02	-7.572199e-09	8.924818e-01	9.591835e-07	4.720196e-07	4.871640e-07
1.080000e+02	-1.839686e-09	8.916774e-01	1.424537e-06	7.104287e-07	7.141081e-07
1.090000e+02	5.127486e-09	8.908997e-01	1.916818e-06	9.635363e-07	9.532813e-07
1.100000e+02	1.337049e-08	8.901563e-01	2.433631e-06	1.230186e-06	1.203445e-06
1.110000e+02	2.292039e-08	8.894543e-01	2.970640e-06	1.508240e-06	1.462399e-06
1.120000e+02	3.376498e-08	8.887849e-01	3.516388e-06	1.791959e-06	1.724429e-06
1.130000e+02	4.583756e-08	8.881254e-01	4.060314e-06	2.075995e-06	1.984320e-06
1.140000e+02	5.902000e-08	8.874726e-01	4.588380e-06	2.353210e-06	2.235170e-06
1.150000e+02	7.314783e-08	8.868370e-01	5.086938e-06	2.616617e-06	2.470321e-06
1.160000e+02	8.802969e-08	8.862355e-01	5.541817e-06	2.858938e-06	2.682879e-06
1.170000e+02	1.035432e-07	8.856741e-01	5.944057e-06	3.075572e-06	2.868485e-06
1.180000e+02	1.194357e-07	8.851465e-01	6.281450e-06	3.260161e-06	3.021289e-06
1.190000e+02	1.353628e-07	8.846376e-01	6.534330e-06	3.402528e-06	3.131802e-06
1.200000e+02	1.509005e-07	8.841360e-01	6.682034e-06	3.491918e-06	3.190117e-06
1.210000e+02	1.653051e-07	8.836403e-01	6.602671e-06	3.466640e-06	3.136030e-06
1.220000e+02	1.785383e-07	8.831595e-01	6.515010e-06	3.436043e-06	3.078967e-06
1.230000e+02	1.911140e-07	8.827165e-01	6.347579e-06	3.364903e-06	2.982676e-06
1.240000e+02	2.014786e-07	8.823120e-01	5.969443e-06	3.186200e-06	2.783243e-06
1.250000e+02	2.081859e-07	8.819371e-01	5.332540e-06	2.874456e-06	2.458084e-06
1.260000e+02	2.104734e-07	8.815729e-01	4.464562e-06	2.442754e-06	2.021808e-06
1.270000e+02	2.082598e-07	8.812115e-01	3.434318e-06	1.925419e-06	1.508899e-06
1.280000e+02	2.015581e-07	8.808576e-01	2.255873e-06	1.329495e-06	9.263785e-07
1.290000e+02	1.898946e-07	8.805194e-01	8.739171e-07	6.268531e-07	2.470640e-07
1.300000e+02	1.723128e-07	8.802118e-01	-7.476238e-07	-2.014991e-07	-5.461247e-07
1.310000e+02	1.478635e-07	8.799358e-01	-2.594248e-06	-1.149261e-06	-1.444988e-06
1.320000e+02	1.160148e-07	8.796806e-01	-4.611588e-06	-2.189779e-06	-2.421809e-06
