ROW,LOC_X,LOC_Y,CAT
0,114.0,148.0,0
1,-7.0,0.0,4
2,-105.0,63.0,2
3,227.0,-16.0,5
4,91.0,246.0,0
5,70.0,58.0,4
6,122.0,235.0,0
7,-8.0,0.0,4
8,135.0,22.0,5
9,26.0,249.0,3
10,12.0,-3.0,4
11,-103.0,42.0,2
12,-127.0,230.0,1
13,-8.0,3.0,4
14,-11.0,3.0,4
15,56.0,186.0,3
16,-2.0,216.0,3
17,50.0,15.0,4
18,95.0,36.0,5
19,114.0,142.0,0
20,-116.0,12.0,2
21,-146.0,-11.0,2
22,-15.0,216.0,3
23,-235.0,14.0,2
24,-29.0,1.0,4
25,20.0,26.0,4
26,-23.0,7.0,4
27,-8.0,23.0,4
28,4.0,3.0,4
29,0.0,1.0,4
30,-117.0,23.0,2
31,26.0,53.0,4
32,0.0,1.0,4
33,-190.0,52.0,2
34,-2.0,26.0,4
35,-188.0,187.0,1
36,2.0,20.0,4
37,-4.0,23.0,4
38,-106.0,233.0,1
39,-19.0,8.0,4
40,20.0,14.0,4
41,-90.0,115.0,1
42,12.0,23.0,4
43,-142.0,83.0,2
44,-164.0,4.0,2
45,0.0,1.0,4
46,147.0,192.0,0
47,97.0,272.0,0
48,-18.0,9.0,4
49,-13.0,0.0,4
50,182.0,164.0,0
51,-89.0,19.0,2
52,-92.0,230.0,1
53,12.0,17.0,4
54,-57.0,11.0,4
55,-82.0,26.0,2
56,-70.0,112.0,1
57,4.0,69.0,4
58,-10.0,4.0,4
59,-15.0,4.0,4
60,-26.0,96.0,4
61,-190.0,45.0,2
62,-2.0,36.0,4
63,12.0,4.0,4
64,-4.0,-5.0,4
65,-35.0,15.0,4
66,-116.0,214.0,1
67,61.0,239.0,3
68,166.0,181.0,0
69,-16.0,12.0,4
70,-49.0,44.0,4
71,-87.0,146.0,1
72,-205.0,157.0,1
73,-32.0,15.0,4
74,-232.0,-13.0,2
75,241.0,0.0,5
76,-153.0,44.0,2
77,-120.0,227.0,1
78,-183.0,94.0,2
79,10.0,93.0,4
80,-10.0,0.0,4
81,9.0,1.0,4
82,-202.0,140.0,1
83,-190.0,153.0,1
84,-153.0,142.0,1
85,-48.0,34.0,4
86,42.0,7.0,4
87,-158.0,45.0,2
88,17.0,4.0,4
